"YEAR","PROJECT_CODE","EVENT_NUMBER","EVENT_ID","START_TIME","END_TIME","VESSEL_CODE","STATION_ID","STATION_ORIG","STATION_TYPE_CODE","ADFG_STAT_AR","NMFS_REP_AR","DATE_SET","DATE_HAULED","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","POSITION_TYPE","GEAR_CODE","HEADING_TRUE","MINIMUM_DEPTH","MAXIMUM_DEPTH","WIRE_LENGTH","TOW_SPEED","TARE_WEIGHT","GROSS_WEIGHT","CATCH_WEIGHT","HAUL_SAMPLE_TYPE","SURFACE_TEMP","BOTTOM_TEMP","SURFACE_SALINITY","GEAR_PERFORMANCE_CODE","GEAR_COMMENTS","USED_IN_ESTIMATE","SEA_STATE_CODE","SWELL_HEIGHT_CODE","CLOUD_CODE","COMMENTS","CTD","TD","BOTTOM_SENSOR","NET_SONAR","VIDEO","PHOTOS","NET_ID","HEAD_ROPE_LENGTH","Tow_Length_Calc","TOW_LENGTH_FIELD","TOW_LENGTH_DESIGNATED","DURATION","DB_Comments","Photo_1","Photo_2","Photo_3"
"1989","T04","001","1989T04001",12/30/1899 11:31:00,12/30/1899 11:55:00,"19433","2-8","2-8","Standard","515936","630",10/3/1989 0:00:00,10/3/1989 0:00:00,59.610000,-151.686167,59.615330,-151.717070,,"07",246.000000,29.260799,31.089599,91.000000,,139.706449,689.460402,549.753952,"M",11.100000,,,"01",,"NO","2","2","9","Tow speed not indicated for this year, most likely range between 2.0 -2.5 kph","0","0","0","0","0","0",,70.000000,"0.99",1.000000,0.990000,24,,,,
"1989","T04","002","1989T04002",12/30/1899 15:09:00,12/30/1899 15:36:00,"19433","13","3-1","Standard","515936","630",10/3/1989 0:00:00,10/3/1989 0:00:00,59.522833,-151.663333,59.519645,-151.695348,,"07",216.000000,102.412799,106.070399,320.000000,,168.282769,1723.651006,1555.368236,"W",10.600000,,,"01",,"NO","2","1","9",,"0","0","0","0","0","0",,70.000000,"1",1.000000,0.990000,27,,,,
"1989","T04","003","1989T04003",12/30/1899 10:20:00,12/30/1899 10:52:00,"19433","8","3-2","Standard","515935","630",10/5/1989 0:00:00,10/5/1989 0:00:00,59.560000,-151.505333,59.566667,-151.476167,,"07",21.000000,151.790399,157.276799,503.000000,,140.613634,607.813775,467.200141,"W",10.600000,,,"01",,"NO","1","1","9","Mud in net, towed to remove; deployed ROV after tow","0","0","0","0","0","0",,70.000000,"0.98",1.000000,0.970000,32,,,,
"1989","T04","004","1989T04004",12/30/1899 10:28:00,12/30/1899 10:52:00,"19433","1","1-1","Standard","515931","630",10/7/1989 0:00:00,10/7/1989 0:00:00,59.729000,-151.089333,59.715500,-151.107667,,"07",176.000000,51.206399,69.494399,183.000000,,136.077711,1202.019780,1065.942069,"M",9.400000,,,"01",,"NO","2","1","9","Towing w/tide against 20-30 knot winds","0","0","0","0","0","0",,70.000000,"0.98",1.000000,0.990000,24,,,,
"1989","T04","005","1989T04005",12/30/1899 9:47:00,12/30/1899 10:13:00,"19433","2","1-2","Standard","515931","630",10/8/1989 0:00:00,10/8/1989 0:00:00,59.688833,-151.153500,59.681333,-151.183667,,"07",186.000000,51.206399,53.035199,183.000000,,138.799265,1002.439137,863.639872,"M",9.400000,,,"01","P2","NO","1","1","5","Mud half-way up doors, little mud in net  Pots","0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,26,"Gear_perf changed",,,
"1989","T04","006","1989T04006",12/30/1899 14:35:00,12/30/1899 15:02:00,"19433","4","1-5","Standard","515932","630",10/8/1989 0:00:00,10/8/1989 0:00:00,59.648167,-151.240667,59.639333,-151.269000,,"07",186.000000,56.692799,58.521599,183.000000,,149.685482,1440.155774,1290.470292,"W",10.600000,,,"01",,"NO","2","2","2","Mud in net, additoinal towing 10-15 minutes required to bring net aboard","0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,27,,,,
"1989","T04","007","1989T04007",12/30/1899 10:52:00,12/30/1899 11:04:00,"19433","2-2","2-2","Standard","515936","630",10/9/1989 0:00:00,10/9/1989 0:00:00,59.662500,-151.847167,59.662259,-151.866167,,"07",171.000000,27.431999,27.431999,91.000000,,154.221405,2313.321087,2159.099681,"M",10.000000,,,"01","UN","NO","2","2","3","Tow shortened due to wind and net moving vessel","0","0","0","0","0","0",,70.000000,"0.57",0.580000,0.580000,12,"Gear_perf changed",,,
"1989","T04","008","1989T04008",12/30/1899 13:32:00,12/30/1899 13:57:00,"19433","18","2-18","Standard","515937","630",10/9/1989 0:00:00,10/9/1989 0:00:00,59.508667,-151.854167,59.509333,-151.887500,,"07",226.000000,64.007999,65.836799,183.000000,,133.356156,408.233133,274.876976,"W",10.600000,,,"01",,"NO","2","2","3","Rough, irregular bottom","0","0","0","0","0","0",,70.000000,"1.01",1.000000,1.020000,25,,,,
"1989","T04","009","1989T04009",12/30/1899 10:56:00,12/30/1899 11:20:00,"19433","10","2-15","Standard","515935","630",10/10/1989 0:00:00,10/10/1989 0:00:00,59.556000,-151.613667,59.566833,-151.588500,,"07",6.000000,87.782399,87.782399,274.000000,,143.335188,684.017293,540.682105,"M",10.000000,,,"01",,"NO","1","1","7",,"0","0","0","0","0","0",,70.000000,"1",1.000000,1.010000,24,,,,
"1989","T04","010","1989T04010",12/30/1899 14:41:00,12/30/1899 15:06:00,"19433","11","3-3","Standard","515935","630",10/10/1989 0:00:00,10/10/1989 0:00:00,59.516167,-151.567833,59.513333,-151.602000,,"07",206.000000,85.953599,109.727999,274.000000,,158.757329,1469.639278,1310.881949,"M",10.000000,,,"01","UN","NO","1","1","8","Oil smell on net, oil filter found, sludge on a few crab","0","0","0","0","0","0",,70.000000,"1.05",1.000000,1.060000,25,"Gear_perf changed",,,
