"YEAR","PROJECT_CODE","n","A","bigN","LM_CBar","LM_varC","LM_varCBar","LM_P","LM_VarP","LM_P_CI","TM_CBar","TM_varC","TM_varCBar","TM_P","TM_VarP","TM_P_CI","SM_CBar","SM_varC","SM_varCBar","SM_P","SM_VarP","SM_P_CI","TF_CBar","TF_varC","TF_varCBar","TF_P","TF_VarP","TF_P_CI"
"1990","T04",14,81.231001,12339.229851,0.352262,0.684211,0.048816,4346.558404,7432391.207589,5889.686077,22.281757,1349.769235,96.302699,274934.365067,14662148721.2391,261593.336455,21.929495,1305.773887,93.163740,270587.806663,14184240110.5188,257294.737785,40.247634,5560.176287,396.704839,496615.116447,60398569986.3361,530934.803674
"1990","T05",24,771.862373,117248.182588,0.294217,1.012763,0.042189,34495.815895,579966807.885015,49818.446688,0.294217,1.012763,0.042189,34495.815895,579966807.885015,49818.446688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291666,2.041666,0.085052,34196.719226,1169176233.47937,70734.062544
"1990","T06",11,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T04",15,81.231001,12339.229851,2.828120,23.613982,1.572351,34896.149565,239391583.076435,33184.749407,14.827325,468.986242,31.227741,182954.209479,4754444010.38840,147888.353159,11.999205,290.662349,19.353933,148058.059913,2946649046.77706,116425.553363,23.629886,1544.958602,102.872033,291568.916473,15662333993.2637,268418.437868
"1991","T05",17,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1991","T06",29,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.267921,0.671969,0.023153,10158.044312,33283099.469654,11817.569280,0.267921,0.671969,0.023153,10158.044312,33283099.469654,11817.569280,1.083608,11.389233,0.392431,41084.204238,564116624.441919,48652.002999
"1992","T04",15,81.231001,12339.229851,4.348657,48.793332,3.248934,53658.035526,494652390.113238,47701.733311,13.967808,472.106754,31.435522,172348.638937,4786078835.36491,148379.542633,9.619151,227.148122,15.124799,118690.603410,2302760573.15758,102922.066287,35.131956,2960.461111,197.124151,433492.827499,30012280344.1025,371563.975889
"1992","T05",25,771.862373,117248.182588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1992","T06",37,249.600000,37914.979910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105478,0.251444,0.006789,3999.153425,9759357.422106,6335.759584,0.105478,0.251444,0.006789,3999.153425,9759357.422106,6335.759584,0.518938,3.401629,0.091846,19675.158214,132027986.275201,23303.495898
"1993","T04",16,81.231001,12339.229851,4.851154,65.921553,4.114754,59858.348350,626474070.812402,53349.039535,9.064186,275.182371,17.176596,111842.896583,2615148044.62907,108999.170892,4.213031,78.960951,4.928660,51984.548232,750391736.549641,58387.391889,26.686366,7656.149206,477.888853,329282.778321,72758888918.2566,574934.121225
