"PROJECT_CODE","YEAR","n","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_","MT1_P_","MT1_P_CI_","MT2_P_","MT2_P_CI_","MT3_P_","MT3_P_CI_","MT4_P_","MT4_P_CI_","MT5_P_","MT5_P_CI_","MT6_P_","MT6_P_CI_","MT7_P_","MT7_P_CI_","MT8_P_","MT8_P_CI_","MT9_P_","MT9_P_CI_","MT10_P_","MT10_P_CI_","MM_P_","MM_P_CI_","TF_P_","TF_P_CI_","FT11_P_","FT11_P_CI_","FT12_P_","FT12_P_CI_","FT13_P_","FT13_P_CI_","MF_P_","MF_P_CI_"
"T04","1990",14,388422.000000,403617.000000,2714634.000000,1145882.000000,145207.000000,89991.000000,172999.000000,258591.000000,12281.000000,11036.000000,57936.000000,98673.000000,451921.000000,273808.000000,40771.000000,24750.000000,603573.000000,334476.000000,10377.000000,8066.000000,722894.000000,462342.000000,496674.000000,322407.000000,881115.000000,665050.000000,1423894.000000,597299.000000,986132.000000,435566.000000,146749.000000,124558.000000,291013.000000,449789.000000,437762.000000,471302.000000
"T04","1991",15,499815.000000,226608.000000,2722308.000000,879693.000000,262221.000000,166977.000000,172790.000000,147249.000000,42750.000000,24414.000000,22054.000000,21614.000000,738741.000000,289904.000000,109418.000000,81285.000000,769866.000000,332296.000000,32934.000000,25892.000000,277640.000000,199491.000000,293894.000000,301295.000000,1347973.000000,447458.000000,1334746.000000,1092684.000000,485795.000000,350909.000000,364460.000000,233106.000000,484491.000000,666221.000000,848952.000000,827100.000000
"T04","1992",15,1055855.000000,734287.000000,2775565.000000,1097301.000000,841935.000000,637336.000000,134044.000000,166316.000000,54457.000000,37347.000000,25419.000000,36382.000000,699401.000000,380133.000000,203058.000000,217853.000000,420582.000000,232111.000000,34475.000000,28923.000000,125034.000000,65574.000000,237159.000000,193531.000000,1958315.000000,1055644.000000,1036498.000000,914538.000000,287743.000000,188991.000000,205512.000000,263785.000000,543243.000000,653735.000000,748755.000000,908911.000000
"T04","1993",16,518498.000000,254074.000000,1647532.000000,430628.000000,277395.000000,132059.000000,182475.000000,194611.000000,41897.000000,23964.000000,16730.000000,18238.000000,219461.000000,81132.000000,106046.000000,88697.000000,122621.000000,63936.000000,12627.000000,9155.000000,89958.000000,45841.000000,578321.000000,342389.000000,844005.000000,361988.000000,1146183.000000,594572.000000,568171.000000,323143.000000,56957.000000,70873.000000,521055.000000,546596.000000,578012.000000,610110.000000
"T04","1994",16,193199.000000,106304.000000,1007104.000000,451486.000000,67540.000000,42295.000000,97154.000000,84872.000000,6755.000000,8350.000000,21751.000000,20071.000000,96021.000000,48749.000000,62569.000000,42345.000000,123709.000000,54183.000000,9131.000000,7747.000000,210142.000000,116375.000000,312332.000000,238873.000000,351789.000000,156120.000000,1028103.000000,697829.000000,643345.000000,524200.000000,95537.000000,81853.000000,289220.000000,284054.000000,384757.000000,329104.000000
"T04","1995",16,278365.000000,296245.000000,2096344.000000,1299465.000000,187853.000000,227154.000000,72949.000000,87993.000000,7598.000000,10507.000000,9964.000000,14124.000000,466315.000000,498911.000000,40010.000000,30818.000000,547120.000000,497579.000000,18605.000000,14564.000000,389839.000000,270099.000000,356090.000000,250231.000000,784691.000000,782113.000000,1538308.000000,945949.000000,675120.000000,424282.000000,706641.000000,738400.000000,156547.000000,169862.000000,863188.000000,805917.000000
"T04","1996",16,101322.000000,69836.000000,1456364.000000,1174485.000000,52123.000000,35944.000000,49199.000000,41444.000000,0.000000,0.000000,0.000000,0.000000,418546.000000,452683.000000,182538.000000,131686.000000,370596.000000,504082.000000,152320.000000,136810.000000,44644.000000,41097.000000,186397.000000,145638.000000,702405.000000,553497.000000,729750.000000,589474.000000,223512.000000,145814.000000,397337.000000,423627.000000,108900.000000,122216.000000,506237.000000,533304.000000
"T04","1997",16,143111.000000,80729.000000,1052159.000000,323702.000000,131079.000000,78239.000000,11311.000000,8333.000000,721.000000,1535.000000,0.000000,0.000000,286733.000000,142682.000000,39304.000000,22354.000000,280513.000000,115500.000000,7349.000000,7095.000000,123219.000000,56398.000000,171929.000000,94870.000000,469148.000000,208898.000000,494443.000000,345855.000000,188883.000000,91602.000000,205881.000000,208185.000000,99679.000000,148336.000000,305560.000000,316959.000000
"T04","1998",16,205808.000000,190004.000000,771087.000000,373615.000000,128912.000000,105585.000000,70770.000000,119967.000000,6126.000000,8166.000000,0.000000,0.000000,126621.000000,117714.000000,68428.000000,85095.000000,13032.000000,10990.000000,10973.000000,8105.000000,19208.000000,14877.000000,325474.000000,246482.000000,400858.000000,347407.000000,477749.000000,320493.000000,399268.000000,303830.000000,32519.000000,65910.000000,45963.000000,89392.000000,78481.000000,155168.000000
"T04","1999",16,104282.000000,91894.000000,3074360.000000,2743906.000000,60056.000000,61542.000000,41827.000000,63521.000000,857.000000,1825.000000,1542.000000,3285.000000,119825.000000,104266.000000,80838.000000,105355.000000,611147.000000,483978.000000,86495.000000,47353.000000,1160291.000000,1307932.000000,911483.000000,1053308.000000,304944.000000,237214.000000,1804162.000000,1377638.000000,1237351.000000,1087752.000000,499701.000000,551434.000000,67110.000000,88769.000000,566811.000000,595051.000000
