"","Station","nmi","Pre4","Pre3","Pre2","Pre1","Recruit","Post","TotMales","JuvFems","MatFems","TotFems"
"1","101","0.50","3.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","1.00","1.00"
"2","102","0.49","8.00","1.00","5.00","4.00","2.00","0.00","20.00","0.00","7.00","7.00"
"3","103","0.49","3.00","1.00","0.00","1.00","0.00","0.00","5.00","0.00","4.00","4.00"
"4","104","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5","105","0.51","1.00","1.00","2.00","0.00","0.00","0.00","4.00","0.00","1.00","1.00"
"6","106","0.50","4.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","6.00","6.00"
"7","107","0.50","0.00","3.00","2.00","1.00","0.00","0.00","6.00","0.00","7.00","7.00"
"8","108","0.52","2.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00"
"9","109","0.50","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","1.00"
"10","110","0.52","1.97","11.80","15.73","21.63","5.90","1.97","59.00","26.00","25.00","51.00"
"11","111","0.50","1.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","1.00"
"12","112","0.50","3.00","0.00","6.00","18.00","11.00","1.00","39.00","2.00","0.00","2.00"
"13","113","0.49","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00"
"14","114","0.50","31.00","6.00","7.00","17.00","8.00","0.00","69.00","28.00","0.00","28.00"
"15","116","0.50","0.00","1.00","5.00","11.00","10.00","1.00","28.00","1.00","61.00","62.00"
"16","117","0.32","35.00","0.00","1.00","1.00","1.00","0.00","38.00","35.00","3.00","38.00"
"17","118","0.49","13.00","0.00","3.00","0.00","1.00","0.00","17.00","7.00","5.00","12.00"
"18","119","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","120","0.51","10.00","0.00","0.00","0.00","1.00","0.00","11.00","3.00","1.00","4.00"
"20","121","0.50","5.00","1.00","3.00","1.00","0.00","0.00","10.00","9.00","6.00","15.00"
"21","122","0.50","2.00","2.00","0.00","1.00","0.00","0.00","5.00","1.00","0.00","1.00"
"22","123","0.50","3.00","2.00","0.00","1.00","0.00","0.00","6.00","7.00","0.00","7.00"
"23","124","0.50","33.03","72.26","105.29","41.29","4.13","0.00","256.00","110.83","102.17","213.00"
"24","125","0.50","27.02","12.28","24.57","35.62","13.51","0.00","113.00","23.00","7.00","30.00"
"25","126","0.50","0.00","12.08","32.61","39.86","8.45","0.00","93.00","23.00","30.00","53.00"
"26","127","0.50","7.34","34.26","56.29","44.05","39.16","4.89","186.00","49.66","46.34","96.00"
"27","128","0.50","2.50","0.00","12.50","32.50","55.00","17.50","120.00","8.00","70.00","78.00"
"28","129","0.51","0.00","0.00","1.00","6.00","8.00","1.00","16.00","1.00","39.00","40.00"
"29","130","0.50","0.00","0.00","21.48","100.24","50.12","7.16","179.00","0.00","500.00","500.00"
"30","131","0.50","0.00","2.17","8.68","69.43","30.38","4.34","115.00","0.00","553.00","553.00"
"31","132","0.50","0.00","3.12","12.50","25.00","46.88","12.50","100.00","1.81","148.19","150.00"
"32","133","0.50","2.00","1.00","1.00","1.00","0.00","0.00","5.00","1.00","0.00","1.00"
"33","134","0.50","8.00","2.00","4.00","3.00","1.00","0.00","18.00","17.00","38.00","55.00"
"34","135","0.50","6.44","3.22","12.89","51.56","54.78","16.11","145.00","0.00","621.00","621.00"
"35","136","0.50","2.00","0.00","1.00","0.00","2.00","0.00","5.00","8.00","14.00","22.00"
"36","138","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37","140","0.50","0.00","0.00","0.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00"
"38","141","0.48","0.00","1.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","1.00"
