"","Year","Pre-4","Pre-4_CI","Pre-3","Pre-3_CI","Pre-2n","Pre-2n_CI","Pre-2o","Pre-2o_CI","Pre-1n","Pre-1n_CI","Pre-1o","Pre-1o_CI","Rn","Rn_CI","Ro","Ro_CI","PRn","PRn_CI","PRo","PRo_CI"
"1",1990,434468,296201,336711,227839,555628,335093,873,1884,485748,264227,7750,6287,367594,231783,27407,14211,252402,144292,246053,367349
"2",1991,252510,274972,131374,124655,270388,165065,3188,3901,658112,276080,27310,22899,643596,248516,71119,51313,429132,250265,235579,193205
"3",1992,209831,175914,71948,42382,129769,71829,4919,5011,354797,194690,26289,23756,500421,266369,128979,135164,1111802,796802,236809,282235
"4",1993,558464,334471,59025,33873,72614,37864,764,1626,97484,53539,10371,7935,160693,62162,56081,44996,381374,172219,250663,257450
"5",1994,260137,189157,127473,100886,161944,84781,0,0,93707,40168,7596,7119,76263,36340,37896,26761,96974,58677,145112,122008
"6",1995,300509,207961,198207,192995,300063,189964,1535,2233,467226,450383,17070,13533,407845,442563,25375,17641,280966,328395,97549,115199
"7",1996,176841,143114,32054,33620,44989,42121,4603,5195,315854,442751,139048,127264,404402,464286,153657,120413,98166,71768,86748,67535
"8",1997,134484,81964,87749,42410,106378,52346,734,1564,238003,99369,6615,6753,205916,103966,32554,20181,221664,122734,18061,12686
"9",1998,320868,244011,16134,12690,8445,8751,771,1643,10740,8510,9391,6718,84605,83910,43956,48596,177811,145367,96824,155903
"10",1999,713951,774801,699162,899596,781883,799277,48411,36800,447906,375323,70998,38421,95783,87670,54917,66443,90501,85489,70848,101501
"11",2000,446734,465002,231376,171868,340058,302275,5375,4122,302284,197468,14547,9296,326411,163929,7274,5495,131399,102465,15410,14157
"12",2001,1508596,1358133,470833,528433,339394,282617,5360,6711,236261,193649,19082,16251,247879,204658,78219,93218,128438,111042,50162,60347
"13",2002,1673386,1341852,908731,622672,813172,636434,25088,18176,345779,243635,23747,22487,162225,152347,14715,13370,129041,105413,5841,4980
"14",2003,884933,579048,861700,644972,769767,524932,36319,49085,521109,254636,32856,18199,259755,140550,18105,12254,66828,63824,13542,17690
"15",2004,635416,372663,355266,268073,1017773,765616,23602,21620,666364,421004,56845,55029,544126,349821,116201,139542,163714,112792,43978,63798
"16",2005,986832,830606,174394,168057,77870,76127,9179,8967,77356,59450,78159,90949,154430,120157,148867,241713,52999,29252,49594,90693
"17",2006,970276,1274218,133257,256827,109366,136878,4744,6906,151254,198169,41249,32491,109976,171254,33446,47773,279626,370932,24055,35312
"18",2007,326276,218980,38953,30119,88172,140637,12626,18897,93117,167463,23724,37267,265346,453699,60319,94753,85489,120358,149892,248615
"19",2008,524767,377516,87035,124158,156048,258799,31104,43623,66317,62995,54847,71676,117038,106226,81362,152235,88128,79232,57584,107501
"20",2009,818177,639940,439944,416672,521901,540652,25213,20303,595071,486048,41828,38539,407545,350391,94559,110513,174381,225173,76460,91913
"21",2011,4005798,1910055,190619,120393,75052,47981,3767,3388,11644,12028,20600,13203,5197,6087,59261,50147,16490,28348,58953,69664
"22",2012,1528350,617832,2375884,1218637,716254,333305,5864,7143,108513,49573,14901,10980,5171,5398,42550,29588,0,0,34225,30099
"23",2013,778423,353670,390244,156114,688187,286811,28648,19862,1027163,428864,70983,59073,84195,40633,54993,50885,3228,3190,50221,45297
"24",2017,180159,82114,369070,276694,271027,243605,3452,4651,178944,191967,8326,8364,94084,99611,18087,21887,10175,14247,2619,5303
"25",2018,410009,568436,1597348,2936961,2083727,3917577,70198,88156,3506483,5791752,102457,108781,148506,118891,36239,57365,32459,33109,5647,11423
