"","year","tows.x","b_mean","b_se","p_mean","p_se","f_mean","f_se","tows.y","u_mean","u_se","e_mean","e_se","n_mean","n_se","tows","1_mean","1_se","2_mean","2_se","3_mean","3_se","4_mean","4_se","5_mean","5_se"
"1",1990,13,0.0693719911568421,0.0372594978182017,0.0825104503339797,0.0297210684825169,0.848117558509178,0.0504711674952667,13,0.934845203413294,0.0364814971505506,0.000307692307692308,0.000307692307692308,0.064847104279014,0.0364414133392587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1991,15,0.0126792685239871,0.00794648634054835,0.0635839636585573,0.0349637098104577,0.923736767817456,0.0382697494062928,14,0.986415069438585,0.00848027721570314,0,0,0.0135849305614147,0.00848027721570314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1992,13,0.0217000093923171,0.0143099530710486,0.0725051657743965,0.0335047693465618,0.905794824833286,0.0357272744246389,13,0.987530759838452,0.00878707238890282,0,0,0.0124692401615479,0.00878707238890281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1993,9,0.0281746031746032,0.0222753050804543,0.109147884997404,0.0545740363775148,0.862677511827993,0.074067354567868,9,0.971825396825397,0.0222753050804543,0,0,0.0281746031746032,0.0222753050804543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1994,9,0.0140517413303562,0.00970244122964423,0.0445622070285991,0.0184722449718169,0.941386051641045,0.0224272448787546,9,0.985948258669644,0.00970244122964424,0,0,0.0140517413303562,0.00970244122964423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1995,8,0.0201808608058608,0.0115126829253764,0.038456498951782,0.0229650794527673,0.941362640242357,0.0288967731016301,8,0.979819139194139,0.0115126829253764,0,0,0.0201808608058608,0.0115126829253764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1996,9,0.00766416789646581,0.00358436406571526,0.426310112884908,0.0846261567862284,0.566025719218627,0.0830783064002523,9,0.993543561572133,0.00317121261793894,0,0,0.00645643842786678,0.00317121261793894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1997,10,0.00206959706959707,0.00149940988241466,0.243387757335126,0.0739163742583071,0.754542645595277,0.0738283566929223,7,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1998,4,0.125,0.125,0.365036231884058,0.143633831812884,0.509963768115942,0.0763936623740064,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1999,12,0.00978336827393431,0.00922638791081852,0.240788365479763,0.0404479739126361,0.749428266246303,0.0387721711856709,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2000,13,0.000411353352529823,0.000411353352529823,0.12780020928328,0.0419002463696161,0.87178843736419,0.0419726460961577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2001,14,0.0783491415474656,0.0710036394139332,0.23595048561964,0.0749986038382167,0.685700372832894,0.089480485865725,8,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2002,11,0.00536743957796589,0.00476184743167841,0.159710232868128,0.0351364148168571,0.834922327553906,0.0340378387009859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2003,13,0.00446775446775447,0.00302806085239314,0.145087661857049,0.0356650609290953,0.850444583675197,0.0352137105903992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
